"greco","year","name","value"
"Grand ouest",2015,"alive",0.0361597980855737
"Grand ouest",2015,"alive + dead",0.0359481645959073
"Grand ouest",2015,"alive + dead +
harvested",0.0373139470646631
"Grand ouest",2016,"alive",0.0344423087588186
"Grand ouest",2016,"alive + dead",0.0356789546062541
"Grand ouest",2016,"alive + dead +
harvested",0.0370408802877869
"Grand ouest",2017,"alive",0.0334566616166233
"Grand ouest",2017,"alive + dead",0.0345257699324551
"Grand ouest",2017,"alive + dead +
harvested",0.0350381506998229
"Grand ouest",2018,"alive",0.0314055159334204
"Grand ouest",2018,"alive + dead",0.032375765358753
"Grand ouest",2018,"alive + dead +
harvested",0.0333724402055365
"Grand ouest",2019,"alive",0.0351822699710719
"Grand ouest",2019,"alive + dead",0.0362528400529953
"Grand ouest",2019,"alive + dead +
harvested",0.0369258040101258
"Grand ouest",2020,"alive",0.0319911265661637
"Grand ouest",2020,"alive + dead",0.0327419453297523
"Grand ouest",2020,"alive + dead +
harvested",0.0335862578177266
"Grand ouest",2021,"alive",0.035151372576423
"Grand ouest",2021,"alive + dead",0.0349636738391411
"Grand ouest",2021,"alive + dead +
harvested",0.0355603474335989
"Grand ouest",2022,"alive",0.0342988679779881
"Grand ouest",2022,"alive + dead",0.0348138188022843
"Grand ouest",2022,"alive + dead +
harvested",0.0349830668452186
"Grand ouest",2023,"alive",0.0322087520696955
"Grand ouest",2023,"alive + dead",0.0319750042545181
"Grand ouest",2023,"alive + dead +
harvested",0.0314753181483068
"Centre nord",2015,"alive",0.0316890129680072
"Centre nord",2015,"alive + dead",0.0322062689260138
"Centre nord",2015,"alive + dead +
harvested",0.032215672797904
"Centre nord",2016,"alive",0.0313046676380558
"Centre nord",2016,"alive + dead",0.0316347251075023
"Centre nord",2016,"alive + dead +
harvested",0.0325557119440125
"Centre nord",2017,"alive",0.0307219874215653
"Centre nord",2017,"alive + dead",0.0309736690820121
"Centre nord",2017,"alive + dead +
harvested",0.0314522611172449
"Centre nord",2018,"alive",0.0298024256489022
"Centre nord",2018,"alive + dead",0.030091442340506
"Centre nord",2018,"alive + dead +
harvested",0.0309525705542394
"Centre nord",2019,"alive",0.0286271359277121
