"greco","ser","year","V","PV","GTOT","NT","mqd","pvv"
"Grand ouest","A11",1982,108.154936636713,5.55137668916534,17.8236343931842,819.345708122152,0.166425396500939,0.0513280009382478
"Grand ouest","A11",1987,94.4700849847209,4.61388213069289,17.6107987026747,772.705354482249,0.170348229823494,0.0488396102474038
"Grand ouest","A11",1997,121.377847378458,6.51182845474503,20.3961514062253,788.555596355683,0.181473415771774,0.0536492333270754
"Grand ouest","A11",2002,94.377166643815,4.2392788673486,14.955265955448,465.598328782552,0.202230391798734,0.0449184799470395
"Grand ouest","A12",1982,106.131569490362,4.79512640534424,16.5911455128841,714.045360229869,0.172000751621585,0.0451809619736159
"Grand ouest","A12",1997,153.108138653691,7.29290577408921,22.9032607061093,830.108964156907,0.187428731434873,0.0476323847851401
"Grand ouest","A13",1982,139.605906510551,5.49748988532888,18.5526632460146,696.496389125367,0.184161462637392,0.0393786339184252
"Grand ouest","A13",1987,138.345048501442,6.19892802233293,18.7787610134412,689.908657544877,0.186162725836739,0.0448077331966695
"Grand ouest","A13",1997,167.020925775399,6.06788791287018,20.7657696812123,601.953112467982,0.209578990225329,0.036330105851706
"Grand ouest","A13",2002,138.162106276162,5.73170802655305,18.5474463214815,584.452197015026,0.201012295437618,0.0414853839525026
"Grand ouest","A21",1982,100.312569975336,5.66848770563933,16.0954311731429,631.442060112622,0.180152218069197,0.0565082492356944
"Grand ouest","A21",1997,123.638227026746,5.93754791407467,19.3368509207934,594.521663317354,0.203499849201649,0.0480235608101227
"Grand ouest","A22",1982,120.914412392704,5.01179782676952,17.5976167474395,856.758519919354,0.161715918183593,0.0414491351989724
"Grand ouest","A22",1987,119.281762508092,5.14189436864916,17.5325061074156,727.615211711404,0.175156465834514,0.0431071293761301
"Grand ouest","A22",1997,140.081819327164,5.43226433721405,19.3435629008257,657.825411050697,0.193494208866997,0.038779224622482
"Grand ouest","A22",2002,124.640935950507,4.94059936208048,17.951732499428,567.795483084664,0.200637578069711,0.0396386574314744
"Grand ouest","A30",1982,96.1016148230544,5.55981052584102,15.0459588805095,901.491092098157,0.145775411074396,0.057853455803817
"Grand ouest","A30",1992,103.863234870675,4.84432948630316,16.180978469601,686.241746253504,0.173268207407614,0.0466414269913222
"Grand ouest","A30",1997,103.428413134981,5.0477362321826,17.0462662765168,754.067916336481,0.169654139946502,0.0488041542858727
"Centre nord","B10",1982,135.253289629981,4.75381200625554,17.2453415717971,600.616980574815,0.191201879253106,0.0351474778858301
"Centre nord","B10",1987,154.779690644525,5.18223228415094,18.5785907590838,491.094386288084,0.219471917806534,0.0334813454050164
"Centre nord","B10",1992,168.665511599782,5.1197063595897,20.7903091827437,544.123793142961,0.22056503890244,0.0303541981465541
"Centre nord","B10",2002,162.975028721118,5.75451473257964,19.5343656599427,487.016455029417,0.225986709287933,0.0353091806624359
"Centre nord","B21",1987,133.57850676346,4.61882448688498,16.7890882221948,482.383803406568,0.210509769739116,0.0345776023313689
"Centre nord","B21",2002,132.392999420653,4.64514459216977,16.4615139564385,436.887270812156,0.219030831045712,0.0350860288119217
"Centre nord","B22",1982,87.2406154102434,4.26599143344941,13.2241693618199,633.844334809724,0.162985119073875,0.0488991442046673
"Centre nord","B22",1987,141.52559008255,6.17807480338319,19.6858100947329,747.990945047007,0.183055817256402,0.043653411370902
"Centre nord","B23",1982,154.968769449979,6.21093470296735,18.4705659441094,636.149431135935,0.192271798647267,0.0400786218088422
"Centre nord","B23",1987,160.821798758694,4.77474521973661,18.7562468425493,509.6910148129,0.216458448047862,0.0296896643153514
"Centre nord","B23",1992,154.205459538763,6.96113013391751,19.2311152414159,633.559591992102,0.196590967164896,0.0451419175088784
"Centre nord","B23",2002,193.854499465201,6.85393238103025,22.3040543945305,539.20689969501,0.229492896155629,0.0353560655024188
"Centre nord","B31",1987,144.866873573601,5.98212779889026,18.8608309839492,618.203585629597,0.197092324288352,0.041293966324544
"Centre nord","B31",2002,137.064395473088,5.05204464551646,17.3164235079051,466.498549676117,0.217399734708229,0.0368589131267748
"Centre nord","B32",1982,102.637219556286,4.63135777438859,16.4798036329588,1098.31425039296,0.138219006283169,0.0451235701279764
"Centre nord","B32",1987,139.847924796861,5.61863280172395,18.64213364679,677.479508746337,0.187177992843043,0.0401767334759197
"Centre nord","B32",1992,159.330409607677,6.1446718689879,21.5091710818875,956.403254365423,0.169217928258116,0.0385655938757584
"Centre nord","B32",2002,132.067728345378,5.19853341169992,16.4426565582551,502.368022610117,0.204140915685028,0.0393626321648006
"Centre nord","B33",1982,142.371331745905,5.14054226320818,18.2029430529945,826.363980782307,0.167471216489655,0.0361065826958948
"Centre nord","B33",1987,196.902910956643,6.76202482986064,21.2573469835171,680.603428472579,0.199417158581331,0.0343419241341211
"Centre nord","B33",1992,169.211661062536,5.5938742215745,20.8164551763579,719.482543341361,0.191932409999856,0.0330584440011327
"Centre nord","B33",1997,177.722291388184,6.41035471255203,21.6304291247002,694.85920125484,0.199085312265192,0.0360695029446273
"Centre nord","B33",2002,195.351289268844,6.75326032421153,21.2672695002871,571.120630606693,0.217744403908598,0.0345698272557476
"Centre nord","B41",1982,136.298188784947,4.52991391613734,17.70515920425,717.446064024801,0.177259838292035,0.0332353199739485
"Centre nord","B41",1992,158.019886917512,5.19150339570068,19.3508758345491,569.489879278858,0.207999536530922,0.0328534812735988
"Centre nord","B41",2002,166.982777553178,5.59378304465998,19.7583292208373,517.333632354002,0.220518389201727,0.0334991615699922
"Centre nord","B42",1982,122.782748117396,4.70815263952177,16.4561621387372,777.912991907955,0.164117096818612,0.0383453922616244
"Centre nord","B42",1987,164.520541980569,6.41832613639954,19.8447619462292,768.773739304623,0.181292040124015,0.0390123084882469
"Centre nord","B42",1992,154.748519926911,5.81081525495659,19.1034802197412,664.329151513971,0.191346115791245,0.0375500538402634
"Centre nord","B42",1997,200.280996811545,6.50698317053568,21.8223773439356,630.520917766132,0.209921219364116,0.0324892689477596
"Centre nord","B42",2002,155.325380502591,6.03961697313706,19.0116011078449,615.356056795832,0.198335824665729,0.0388836451170728
"Centre nord","B43",1982,90.5608693926506,4.19660372846054,14.3037782898916,715.346077186881,0.159559381544554,0.0463401440004408
"Centre nord","B43",1987,56.3194968607825,2.74854367654816,9.09237300393451,452.587211052234,0.159934641932534,0.0488027029670089
"Centre nord","B43",1992,76.2946700485302,2.95492426007583,11.8465420696301,490.346998030786,0.175387686489324,0.0387304153513769
"Centre nord","B43",1997,69.4886800204055,3.17364593650839,10.3919959760665,441.912002724623,0.173036071058953,0.0456714091500435
"Centre nord","B44",1982,79.1446308286333,3.92341861209553,14.2268086028613,1132.31440136038,0.126480999322472,0.0495727703953873
"Centre nord","B44",1992,105.518194894882,5.15661872794856,15.9037749806874,815.20079344318,0.157606045997396,0.0488694744360025
"Centre nord","B51",1982,157.586305485187,5.4997292541227,18.8411428375487,697.252842483347,0.185487024117632,0.0348997918136972
"Centre nord","B51",1987,167.402362935061,6.18846408362502,19.7860439903237,693.483902094712,0.190597128067117,0.0369676029365586
"Centre nord","B51",1992,188.840235979488,5.78312279541645,21.927756412257,681.25254449057,0.202440820891206,0.0306244205077388
